Submitter Organization,County,Sub county,Ward,Vaccination Site(s),Latitude,Longitude,Vaccination Date,Species,Disease,Specify other disease,Total number vaccinated,Number of beneficiaries (HHs)
County Government,Kwale,Lungalunga,Pongwe/Kikoneni,Mwazaro,-4.6059903,39.3846388,2026-02-13,Cattle,Foot and Mouth Disease (FMD),Unknown,5,7
County Government,Lamu,Lamu West,Bahari,Rabies,-2.3846485,40.702203,2026-02-13,Dogs,Rabies,Unknown,10,2
County Government,Makueni,Kibwezi East,Masongaleni,Kyuasini,-2.4145832,38.0986759,2026-02-13,Dogs,Rabies,Unknown,3,1
County Government,Taita Taveta,Mwatate,Bura,Mwashoti,,,2026-02-07,Goats,Peste des Petit Ruminants (PPR),Unknown,91,1
County Government,Taita Taveta,Mwatate,Chawia,Alia,-3.5620767,38.2894717,2026-02-12,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,95,1
County Government,Taita Taveta,Mwatate,Chawia,Alia,,,2026-02-10,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,80,2
County Government,Taita Taveta,Mwatate,Bura,Lualenyi,,,2026-02-04,Cattle,Foot and Mouth Disease (FMD),Unknown,450,1
County Government,Taita Taveta,Mwatate,Bura,Lualenyi,,,2026-02-04,Cattle,Lumpy Skin Disease (LSD),Unknown,450,1
County Government,Taita Taveta,Mwatate,Bura,Mwashoti,,,2026-02-07,Sheep,Peste des Petit Ruminants (PPR),Unknown,94,1
County Government,Nakuru,Gilgil,Gilgil,home,-0.5089189019054174,36.31216800771654,2026-02-13,Dogs,Rabies,Unknown,2,1
Private,Nakuru,Njoro,Njoro,Subcutaneous ,-0.3328528,35.9432466,2026-02-13,Dogs,Rabies,Unknown,1,1
County Government,Nakuru,Njoro,Njoro,Subcutaneous,-0.3328542,35.9432641,2026-02-13,Dogs,Rabies,Unknown,1,1
County Government,Bomet,Konoin,Mogogosiek,Segem/ Lebetiet ,-0.6194427,35.2785317,2026-02-13,Cattle,Foot and Mouth Disease (FMD),Unknown,208,49
County Government,Makueni,Makueni,Kathonzweni,Kiuani,-1.9158647,37.7335682,2026-02-13,Cattle,Foot and Mouth Disease (FMD),Unknown,14,1
Private,Bomet,Bomet East,Chemaner,Mangoita(Rakwach Farm),-0.7822533,35.4650111,2026-02-14,Cattle,Foot and Mouth Disease (FMD),Unknown,160,160
County Government,Kwale,Matuga,Waa,Farm,-4.1879154,39.5707809,2026-02-15,Dogs,Rabies,Unknown,2,3
County Government,Kwale,Matuga,Waa,Farm,-4.1879154,39.5707809,2026-02-15,Dogs,Canine Distemper (CD),Unknown,2,3
Private,Samburu,Samburu West,Lodokejek,Lkiloriti ,0.9912267,36.7884217,2026-02-16,Cattle,Foot and Mouth Disease (FMD),Unknown,75,3
County Government,Lamu,Lamu West,Bahari,Kangawati,-2.3973791,40.6918556,2026-02-16,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,100,1
County Government,Kwale,Matuga,Waa,Farm,-4.1626962,39.6177763,2026-02-16,Cattle,Foot and Mouth Disease (FMD),Unknown,385,5
County Government,Nakuru,Rongai,Soin,Poultry ,-0.0310528,35.9129942,2026-02-15,Chicken,Other,Gumboro ,30,1
County Government,Elgeyo/Marakwet,Marakwet West,Kapsowar,Matira ,0.940954,35.5672015,2026-02-16,Cattle,Foot and Mouth Disease (FMD),Unknown,160,30
County Government,Makueni,Makueni,Kathonzweni,Ikaasu,-1.9443586,37.7412658,2026-02-16,Cattle,Foot and Mouth Disease (FMD),Unknown,9,1
County Government,Tana River,Garsen,Garsen West,Village ,-2.06030845,39.446923616666666,2026-02-13,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,1000,5
County Government,Tana River,Garsen,Garsen West,Village ,-2.060319183333333,39.4469157,2026-02-12,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,500,4
County Government,Tana River,Garsen,Garsen West,Village ,-2.0603288666666666,39.446912733333335,2026-02-11,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,350,3
County Government,Tana River,Garsen,Garsen West,Village ,-2.0603274,39.44692176666667,2026-02-10,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,250,2
County Government,Tana River,Garsen,Garsen West,Village ,-2.0602948,39.44692778333333,2026-02-15,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,1500,10
County Government,Tana River,Garsen,Garsen West,Village ,-2.060294583333333,39.4469293,2026-02-16,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,1300,8
County Government,Narok,Narok North,Olorropil,Olopito,-1.082613,35.8783219,2026-02-17,Goats,Peste des Petit Ruminants (PPR),Unknown,312,5
County Government,Narok,Narok North,Olorropil,Olopito,-1.082613,35.8783219,2026-02-17,Sheep,Peste des Petit Ruminants (PPR),Unknown,528,5
County Government,Elgeyo/Marakwet,Marakwet West,Kapsowar,Kiplabai,0.9792529,35.5526189,2026-02-17,Cattle,Foot and Mouth Disease (FMD),Unknown,74,17
County Government,Nakuru,Kuresoi South,Keringet,Chebaraa ,-0.4706624,35.6811208,2026-02-17,Dogs,Rabies,Unknown,2,2
County Government,Nakuru,Rongai,Soin,Subcutaneous ,-0.1318236,35.936825,2026-02-18,Dogs,Rabies,Unknown,3,1
County Government,Taita Taveta,Wundanyi,Wundanyi/Mbale,Mlechi,-3.4066198,38.3651356,2026-02-12,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,189,3
County Government,Kwale,Lungalunga,Pongwe/Kikoneni,Ganda Cattle Dip ,-4.4908035,39.2438823,2026-02-18,Cattle,Foot and Mouth Disease (FMD),Unknown,7,25
County Government,Kwale,Lungalunga,Pongwe/Kikoneni,Unknown,-4.5391852,39.2455997,2026-02-18,Cattle,Foot and Mouth Disease (FMD),Unknown,4,20
Unknown,Narok,Narok South,Loita,Oldonyio,-1.8813358,35.8554301,2026-02-18,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,200,3
Private,Samburu,Samburu West,Lodokejek,Lowabenee,0.7405835,36.8036603,2026-02-09,Sheep,Peste des Petit Ruminants (PPR),Unknown,2350,7
Private,Samburu,Samburu West,Suguta Marmar,Logese,0.9236517,36.6680283,2026-02-18,Sheep,Peste des Petit Ruminants (PPR),Unknown,2300,9
County Government,Kwale,Lungalunga,Pongwe/Kikoneni,Ganda Area,-4.4908035,39.2438823,2026-02-18,Cattle,Foot and Mouth Disease (FMD),Unknown,1,5
Private,Samburu,Samburu West,Suguta Marmar,Logese,0.9236517,36.6680283,2026-02-18,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,200,3
County Government,Makueni,Makueni,Muvau/Kikuumini,kikumini,-1.7754983333333332,37.681575,2026-02-18,Cattle,Foot and Mouth Disease (FMD),Unknown,29,3
County Government,Nakuru,Rongai,Soin,Farm,-0.1669379,35.9249105,2026-02-18,Dogs,Rabies,Unknown,2,1
County Government,Tharaka-Nithi,Chuka/Igambang'Ombe,Magumoni,Farm,-0.380014,37.6074903,2026-02-18,Cattle,Foot and Mouth Disease (FMD),Unknown,32,10
County Government,Nakuru,Subukia,Waseges,Neck,36.0,0.14,2026-02-19,Dogs,Rabies,Unknown,3,1
County Government,Lamu,Lamu East,Kiunga,Unknown,-1.73882582,41.49289736,2026-02-19,Goats,Peste des Petit Ruminants (PPR),Unknown,156,1
County Government,Nakuru,Naivasha,Hells Gate,Unknown,-0.7161054,36.2998531,2026-02-27,Dogs,Rabies,Unknown,2,2
County Government,Lamu,Lamu West,Hindi,Jua Kali ,-2.1781251,40.813524,2026-02-19,Chicken,Infectious Bursai Disease (Gumboro),Unknown,200,1
County Government,Baringo,Baringo South,Mukutani,Musiro,0.4705215,36.0279961,2026-02-19,Sheep,Peste des Petit Ruminants (PPR),Unknown,200,7
County Government,Baringo,Baringo South,Mukutani,Lorok,0.4705215,36.0279961,2026-02-19,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,200,5
County Government,Narok,Narok North,Nkareta,Olopito,-1.0826064,35.8783044,2026-02-19,Goats,Peste des Petit Ruminants (PPR),Unknown,516,8
County Government,Narok,Narok North,Nkareta,Olopito,-1.0826064,35.8783044,2026-02-19,Sheep,Peste des Petit Ruminants (PPR),Unknown,428,8
County Government,Makueni,Makueni,Kitise/Kithuki,Matheani,-1.99853,37.903713333333336,2026-02-17,Cattle,Foot and Mouth Disease (FMD),Unknown,39,6
County Government,Baringo,Baringo South,Mukutani,Lorok,0.4705215,36.0279961,2026-02-19,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,400,8
County Government,Narok,Narok South,Majimoto/Naroosura,Enkiu,,,2026-02-19,Cattle,Contagious Bovine Pleuropneumonia (CBPP),Unknown,59,2
County Government,Elgeyo/Marakwet,Marakwet West,Kapsowar,Kapchesewes ,0.9877399,35.5580913,2026-02-19,Cattle,Foot and Mouth Disease (FMD),Unknown,61,15
County Government,Kwale,Matuga,Tsimba Golini,Farm,-4.1920126,39.5357142,2026-02-19,Cattle,Foot and Mouth Disease (FMD),Unknown,16,3
County Government,Narok,Narok East,Keekonyokie,2,-1.1505105,36.2024782,2026-02-19,Cattle,East Coast Fever(ECF),Unknown,60,3
County Government,Bomet,Konoin,Mogogosiek,Mokonjet ,-0.6470161,35.2572399,2026-02-19,Cattle,Foot and Mouth Disease (FMD),Unknown,178,56
County Government,Nakuru,Gilgil,Elementaita,village,-0.4741743626073003,36.28881309181452,2026-02-19,Sheep,Peste des Petit Ruminants (PPR),Unknown,180,7
County Government,Nakuru,Gilgil,Gilgil,homestead,,,2026-02-19,Sheep,Peste des Petit Ruminants (PPR),Unknown,10,3
County Government,Makueni,Kibwezi West,Kikumbulyu South,Kavete,-2.4073842,37.934585,2026-02-18,Cattle,Lumpy Skin Disease (LSD),Unknown,72,30
County Government,Makueni,Kibwezi West,Kikumbulyu South,Kavete,-2.4073842,37.934585,2026-02-18,Cattle,Foot and Mouth Disease (FMD),Unknown,92,30
County Government,Makueni,Makueni,Kathonzweni,Lucy Mwende ,-1.9112645,37.7319072,2026-02-19,Cattle,Lumpy Skin Disease (LSD),Unknown,29,3
County Government,Marsabit,Moyale,Golbo,560,3.4708826,39.0956378,2026-01-14,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,560,35
County Government,Makueni,Kibwezi West,Nguu/Masumba,Utini,-2.1545411,37.5945725,2026-02-19,Cattle,Foot and Mouth Disease (FMD),Unknown,60,8
County Government,Makueni,Kibwezi West,Kikumbulyu South,Katulani,-2.4073842,37.934585,2026-02-19,Cattle,Foot and Mouth Disease (FMD),Unknown,85,23
County Government,Makueni,Kibwezi West,Kikumbulyu South,Katulani,-2.4061812,37.9335913,2026-02-19,Cattle,Lumpy Skin Disease (LSD),Unknown,80,23
County Government,Makueni,Kibwezi West,Kikumbulyu South,Ithambaume,-2.4083816,37.9621657,2026-02-19,Cattle,Foot and Mouth Disease (FMD),Unknown,189,46
County Government,Makueni,Kibwezi West,Kikumbulyu South,Ithambaume,-2.4083816,37.9621657,2026-02-17,Cattle,Lumpy Skin Disease (LSD),Unknown,173,40
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4083816,37.9621657,2026-02-16,Cattle,Foot and Mouth Disease (FMD),Unknown,75,8
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4083816,37.9621657,2026-02-16,Cattle,Lumpy Skin Disease (LSD),Unknown,75,10
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4083816,37.9621657,2026-02-14,Cattle,Foot and Mouth Disease (FMD),Unknown,74,11
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4083816,37.9621657,2026-02-14,Cattle,Lumpy Skin Disease (LSD),Unknown,53,11
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4083816,37.9621657,2026-02-13,Cattle,Foot and Mouth Disease (FMD),Unknown,55,12
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4083816,37.9621657,2026-02-12,Cattle,Foot and Mouth Disease (FMD),Unknown,66,14
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4083816,37.9621657,2026-02-13,Cattle,Lumpy Skin Disease (LSD),Unknown,50,12
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4083816,37.9621657,2026-02-12,Cattle,Lumpy Skin Disease (LSD),Unknown,50,14
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4083816,37.9621657,2026-02-11,Cattle,Foot and Mouth Disease (FMD),Unknown,61,10
County Government,Makueni,Kibwezi West,Kikumbulyu South,Fpo,-2.4085191,37.9620322,2026-02-11,Cattle,Lumpy Skin Disease (LSD),Unknown,61,10
County Government,Makueni,Makueni,Kitise/Kithuki,Kalelo,-1.974555,37.89807666666666,2026-02-19,Cattle,Foot and Mouth Disease (FMD),Unknown,11,2
County Government,Makueni,Kibwezi West,Emali/Mulala,Mulala  Dairy Cooperative ,-2.0599083,37.48297682,2026-02-18,Cattle,Foot and Mouth Disease (FMD),Unknown,64,14
County Government,Makueni,Kibwezi West,Emali/Mulala,Mulala Dairy Cooperative ,-2.0599083,37.4829768,2026-02-19,Cattle,Lumpy Skin Disease (LSD),Unknown,64,12
County Government,Makueni,Kibwezi West,Emali/Mulala,Mulala Dairy Cooperative ,-2.05999083,37.4829768,2026-02-19,Cattle,Foot and Mouth Disease (FMD),Unknown,93,21
County Government,Makueni,Kibwezi West,Emali/Mulala,Mulala dairy cooperative ,-2.0599083,3.4829768,2026-02-19,Cattle,Lumpy Skin Disease (LSD),Unknown,93,21
County Government,Kwale,Lungalunga,Pongwe/Kikoneni,Mshiu,-4.5266067,39.3087863,2026-02-20,Cattle,Foot and Mouth Disease (FMD),Unknown,24,25
County Government,Makueni,Makueni,Kathonzweni,Matolo Farm ,-1.9148957,37.733236,2026-02-20,Cattle,Foot and Mouth Disease (FMD),Unknown,11,1
Private,Kisumu,Nyando,Awasi/Onjiko,Unknown,-0.1617667,35.0720224,2026-02-15,Dogs,Canine Distemper (CD),Unknown,1,3
Private,Kisumu,Nyando,Awasi/Onjiko,Unknown,-0.1597291,35.075667,2026-02-20,Dogs,Canine Distemper (CD),Unknown,9,3
County Government,Makueni,Kibwezi West,Nguu/Masumba,Utini,-2.1419261,37.5619449,2026-02-20,Cattle,Foot and Mouth Disease (FMD),Unknown,28,3
County Government,Makueni,Makueni,Kitise/Kithuki,Muangeni ,-2.001211666666667,37.87478833333333,2026-02-20,Cattle,Foot and Mouth Disease (FMD),Unknown,21,4
County Government,Taita Taveta,Wundanyi,Werugha,Samambere ,-3.381503,38.3358373,2026-02-10,Cattle,Lumpy Skin Disease (LSD),Unknown,85,40
County Government,Taita Taveta,Wundanyi,Werugha,Ngulu ,-3.3817552,38.3358373,2026-02-17,Cattle,Lumpy Skin Disease (LSD),Unknown,53,25
County Government,Taita Taveta,Wundanyi,Werugha,Kishenyi,-3.381503,38.3358373,2026-02-20,Cattle,Lumpy Skin Disease (LSD),Unknown,86,38
County Government,Elgeyo/Marakwet,Keiyo South,Kaptarakwa,Kaptiol,0.4656974,35.5407074,2026-02-20,Cattle,Foot and Mouth Disease (FMD),Unknown,200,120
County Government,Makueni,Kibwezi West,Emali/Mulala,MulalaDairy Cooperativ,-2.0599083,37.4829768,2026-02-20,Cattle,Foot and Mouth Disease (FMD),Unknown,71,19
County Government,Makueni,Kibwezi West,Emali/Mulala,Mulala Dairy Cooperative ,-2.0599083,37.4829768,2026-02-20,Cattle,Lumpy Skin Disease (LSD),Unknown,73,19
County Government,Nakuru,Rongai,Solai,Dips&Crush,0.0948685,36.1428288,2026-01-20,Cattle,Lumpy Skin Disease (LSD),Unknown,150,7
County Government,Nakuru,Rongai,Soin,S/C,-0.0631523,35.9739186,2026-02-21,Cattle,Animal bites,Unknown,1,1
County Government,Nakuru,Subukia,Waseges,Neck,0.22005,36.02,2026-02-21,Dogs,Rabies,Unknown,8,3
Private,Kisumu,Muhoroni,Chemelil,Unknown,-0.0905836,35.1270499,2026-02-21,Cattle,Foot and Mouth Disease (FMD),Unknown,8,2
County Government,Nakuru,Njoro,Mauche,Unknown,,,2026-02-21,Dogs,Rabies,Unknown,5,2
County Government,Nakuru,Naivasha,Hells Gate,Karagita,1.0,1.0,2026-02-20,Dogs,Parvovirus,Unknown,4,1
County Government,Siaya,Ugenya,Ukwala,Siranga,0.1597866,34.2294806,2026-02-23,Cattle,Foot and Mouth Disease (FMD),Unknown,15,4
County Government,Elgeyo/Marakwet,Keiyo South,Kaptarakwa,Mokwo,0.4656938,35.5440676,2026-02-15,Cattle,Foot and Mouth Disease (FMD),Unknown,180,94
County Government,Marsabit,Laisamis,Korr/Ngurunit,Tubcha,2.01201,37.509710000000005,2026-02-23,Goats,Peste des Petit Ruminants (PPR),Unknown,711,30
County Government,Marsabit,Laisamis,Korr/Ngurunit,Tubcha,2.0121033333333336,37.509725,2026-02-23,Sheep,Peste des Petit Ruminants (PPR),Unknown,669,30
County Government,Elgeyo/Marakwet,Keiyo South,Kaptarakwa,Kitany ,0.4667091,35.5405321,2026-02-23,Cattle,Foot and Mouth Disease (FMD),Unknown,120,70
County Government,Marsabit,Laisamis,Korr/Ngurunit,Lengima,2.011976666666667,37.50956833333333,2026-02-23,Goats,Peste des Petit Ruminants (PPR),Unknown,1069,45
County Government,Marsabit,Laisamis,Korr/Ngurunit,Lengima,2.011893333333333,37.509545,2026-02-23,Sheep,Peste des Petit Ruminants (PPR),Unknown,393,45
County Government,Marsabit,Laisamis,Korr/Ngurunit,Tubcha,2.012061666666667,37.50947166666666,2026-02-23,Sheep,Peste des Petit Ruminants (PPR),Unknown,669,30
County Government,Marsabit,Laisamis,Korr/Ngurunit,Lengima,2.0145733333333333,37.510221666666666,2026-02-22,Sheep,Peste des Petit Ruminants (PPR),Unknown,393,45
County Government,Marsabit,Laisamis,Korr/Ngurunit,Ellem,2.014695,37.51032,2026-02-20,Goats,Peste des Petit Ruminants (PPR),Unknown,470,33
County Government,Marsabit,Laisamis,Korr/Ngurunit,Ellem,2.0118716666666665,37.50953833333333,2026-02-20,Sheep,Peste des Petit Ruminants (PPR),Unknown,602,33
