Submitter Organization,County,Sub county,Ward,Vaccination Site(s),Latitude,Longitude,Vaccination Date,Species,Disease,Specify other disease,Total number vaccinated,Number of beneficiaries (HHs)
County Government,Mombasa,Kisauni,Bamburi,Utange Primary,,,2025-08-06,Dogs,Rabies,Unknown,91,52
County Government,Makueni,Makueni,Kathonzweni,Kasambani ,-1.8988621,37.6831602,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,235,19
County Government,Makueni,Makueni,Kathonzweni,Kasambani ,-1.8988621,37.6831602,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,242,44
County Government,Mombasa,Mvita,Tudor,Kaa Chonjo,-4.0344613,39.6568844,2025-08-13,Dogs,Rabies,Unknown,59,19
County Government,Makueni,Kibwezi West,Kikumbulyu South,Kasemeini,-2.408418,37.962028,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,334,15
County Government,Makueni,Kibwezi West,Kikumbulyu North,Kasekeleni,-2.4083786,37.9622111,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,77,13
County Government,Makueni,Kibwezi West,Kikumbulyu North,Kasekeleni,-2.4083786,37.9622111,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,276,7
County Government,Makueni,Kilome,Kasikeu,Mbyani Dip,-1.8892083333333327,37.43929,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,85,13
County Government,Makueni,Kilome,Kasikeu,Muangini,-1.8888266666666669,37.411746666666666,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,37,13
County Government,Makueni,Kaiti,Kee,Mavia Meu,-1.7356605,37.4436263,2025-06-26,Dogs,Rabies,Unknown,40,20
County Government,Makueni,Kilome,Kasikeu,Muangini,-1.8888266666666669,37.411745,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,67,7
County Government,Makueni,Kilome,Kasikeu,Ngalana ,-1.8919,37.469256666666666,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,122,52
County Government,Makueni,Kilome,Kasikeu,Ngalana,-1.89178,37.469256666666666,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,112,30
County Government,Makueni,Kilome,Kasikeu,Mumela,-1.8937366666666668,37.45395333333333,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,62,20
County Government,Makueni,Kilome,Kasikeu,Mumela,-1.8936933333333328,37.45403,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,77,10
County Government,Mandera,Mandera South,Elwak North,El Golicha,2.8139307,40.9320206,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,2364,26
County Government,Makueni,Kilome,Kasikeu,Masokani,-1.91855251,37.4159698,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,28,6
County Government,Makueni,Kilome,Kasikeu,Masokani,-1.91855251,37.4159698,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,89,34
County Government,Mandera,Mandera South,Kutulo,Dimu,2.4439231,40.6509385,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,2486,15
County Government,Mandera,Banissa,Kiliwehiri,Birkan,3.9287264,40.020523,2025-06-22,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,2000,96
County Government,Mandera,Banissa,Banissa,Hardawa,,,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,2100,84
County Government,Mandera,Banissa,Kiliwehiri,Birkan,,,2025-06-21,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,2500,106
County Government,Makueni,Makueni,Mavindini,Kanthuni,-1.8844100000000004,37.830333333333336,2025-06-20,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,295,16
County Government,Makueni,Makueni,Mavindini,Kanthuni,-1.8845933333333336,37.83072833333333,2025-06-20,Cattle,Lumpy Skin Disease (LSD),Unknown,46,30
County Government,Makueni,Kaiti,Kee,Nthozweni,,,2025-06-26,Dogs,Rabies,Unknown,1,1
County Government,Makueni,Makueni,Mavindini,Yekanga,-1.9173769,37.8370783,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,298,18
County Government,Makueni,Makueni,Mavindini,Yekanga,-1.9173769,37.8370783,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,84,21
County Government,Makueni,Makueni,Mavindini,Yekanga,-1.9173749,37.8370783,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,84,21
County Government,Makueni,Makueni,Mavindini,Kanzokea,-1.9282683,37.798298,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,114,29
County Government,Makueni,Makueni,Mavindini,Kanzokea,-1.9282683,37.798298,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,114,29
County Government,Makueni,Makueni,Mavindini,Kanzokea,-1.9282683,37.798298,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,254,20
County Government,Makueni,Makueni,Kathonzweni,Kiluluini ,-1.9351228,37.6915387,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,201,40
County Government,Makueni,Kibwezi West,Nguumo,Syumile ,-2.3363247,37.8789163,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,340,25
County Government,Makueni,Kibwezi West,Nguumo,Syumile ,-2.28225,37.92172,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,100,25
County Government,Makueni,Kibwezi West,Nguumo,Soto,-2.411117,37.835477,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,273,47
County Government,Makueni,Kibwezi West,Nguumo,Soto,-2.411117,37.835477,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,85,23
County Government,Makueni,Kibwezi West,Nguumo,Mbui Nzau ,-2.38044,37.904955,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,12,2
County Government,Makueni,Kibwezi West,Nguumo,Mbui Nzau ,-2.38044,37.904955,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,140,4
County Government,Makueni,Kibwezi West,Nguumo,Kulongoni,-1.8333,37.2667,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,43,6
County Government,Makueni,Kibwezi West,Nguumo,Kilongoni,-1.8333,-37.2667,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,111,7
County Government,Makueni,Kibwezi West,Kikumbulyu North,UON,-2.4040688,37.9604158,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,271,1
County Government,Makueni,Makueni,Mbitini,Ndauni,-2.0131,37.4386,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,438,117
County Government,Makueni,Makueni,Mbitini,Ndauni,-2.0131,37.4386,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,145,24
County Government,Makueni,Makueni,Muvau/Kikuumini,Kwa muleelee,-1.8806,37.6127,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,118,22
County Government,Makueni,Makueni,Muvau/Kikuumini,Kwa muleelee,-1.8806,37.6127,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,118,22
County Government,Makueni,Makueni,Muvau/Kikuumini,Kwa muleelee,-1.8806,37.6127,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,250,11
County Government,Makueni,Makueni,Muvau/Kikuumini,Senda,-1.8502,37.6527,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,131,11
County Government,Makueni,Makueni,Muvau/Kikuumini,Senda,-1.8502,37.6527,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,131,11
County Government,Makueni,Makueni,Muvau/Kikuumini,Senda,-1.8502,37.6527,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,96,7
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Muuani,-1.8719,37.5279,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,133,49
County Government,Makueni,Makueni,Muvau/Kikuumini,Muuani,-1.8719,37.5279,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,133,49
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Muuani,-1.8719,37.5279,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,100,25
County Government,Makueni,Mbooni,Kalawa,Mutembuku,-1.69729166,37.81466,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,114,18
County Government,Makueni,Mbooni,Kalawa,Mutembuku,-1.69729166,37.81466,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,114,18
County Government,Makueni,Mbooni,Kalawa,Mutembuku,-1.69729166,37.81466,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,178,7
County Government,Makueni,Mbooni,Kalawa,Nganwa,-1.675405,37.790145,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,102,22
County Government,Makueni,Mbooni,Kalawa,Nganwa,-1.675405,37.790145,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,102,22
County Government,Makueni,Mbooni,Kalawa,Nganwa,-1.675405,37.790145,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,246,11
County Government,Makueni,Mbooni,Kalawa,Ititu,-1.75917,37.719732,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,60,12
County Government,Makueni,Mbooni,Kalawa,Ititu,-1.75917,37.719732,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,60,12
County Government,Makueni,Mbooni,Kalawa,Ititu,-1.75917,37.719732,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,42,5
County Government,Makueni,Mbooni,Kalawa,Thwake,-1.691803,37.646812,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,173,47
County Government,Makueni,Mbooni,Kalawa,Thwake,-1.691803,37.646812,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,173,47
County Government,Makueni,Mbooni,Kalawa,Thwake,-1.691803,37.646812,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,429,23
County Government,Makueni,Mbooni,Kalawa,Mililuni,-1.736032,37.714103,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,110,27
County Government,Makueni,Mbooni,Kalawa,Mililuni,-1.736032,37.714103,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,110,27
County Government,Makueni,Mbooni,Kalawa,Mililuni,-1.736032,37.714103,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,233,14
County Government,Makueni,Kaiti,Kee,Nthozweni,,,2025-06-26,Cattle,Lumpy Skin Disease (LSD),Unknown,5,3
County Government,Makueni,Mbooni,Kalawa,Musingini,-1.651665,37.703332,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,172,28
County Government,Makueni,Mbooni,Kalawa,Musingini,-1.651665,37.703332,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,172,28
County Government,Makueni,Mbooni,Kalawa,Musingini,-1.651665,37.703332,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,42,5
County Government,Kisumu,Nyando,Ahero,Bunde,-0.1646318,35.0778707,2025-06-24,Chicken,Fowl Pox,Unknown,200,2
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Mbiuni,-1.8494,37.5259,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,75,29
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Mbiuni,-1.8494,37.5259,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,75,29
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Mbiuni,-1.8494,37.5259,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,60,16
County Government,Kisumu,Nyakach,Central Nyakach,Olwalo,,,2025-09-26,Dogs,Rabies,Unknown,41,30
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Isambani,-1.8905,37.5169,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,87,32
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Isambani,-1.8905,37.5169,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,199,33
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Isambani,-1.8905,37.5169,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,87,32
County Government,Baringo,Baringo South,Marigat,Kimau ,0.4757282,35.8383913,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,124,13
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Upendo,-1.8576,37.5309,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,26,12
County Government,Baringo,Baringo South,Marigat,Kimau,0.4757282,35.8383913,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,335,2
County Government,Makueni,Kaiti,Kee,Nthonzweni Pri,,,2025-06-26,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,6,1
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Upendo,-1.8576,37.5309,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,26,12
County Government,Makueni,Makueni,Nzaui/Kilili/Kalamba,Upendo,-1.8576,37.5309,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,37,7
County Government,Makueni,Makueni,Kathonzweni,Kiluluini ,-1.9351228,37.6915387,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,201,40
County Government,Makueni,Makueni,Kathonzweni,Kiluluini ,-1.9351228,37.6915387,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,445,19
County Government,Taita Taveta,Wundanyi,Wundanyi/Mbale,Wanganga / Mlechi ,-3.2708625,38.2870881,2025-06-02,Cattle,Lumpy Skin Disease (LSD),Unknown,66,30
County Government,Taita Taveta,Wundanyi,Wundanyi/Mbale,Iriwa Village ,-3.2615834,38.3312274,2025-06-10,Cattle,Lumpy Skin Disease (LSD),Unknown,35,15
County Government,Taita Taveta,Wundanyi,Wundanyi/Mbale,Choke /mghoghonyi,-3.2703883,38.2976315,2025-06-19,Cattle,Lumpy Skin Disease (LSD),Unknown,33,16
County Government,Kwale,Kinango,Kinango,Mbandi,-4.1374897,39.3163185,2025-06-20,Dogs,Rabies,Unknown,2,7
County Government,Lamu,Lamu West,Hindi,Mabogoni,-2.1765869,40.8675889,2025-06-24,Goats,Peste des Petit Ruminants (PPR),Unknown,87,1
County Government,Lamu,Lamu West,Hindi,Ungu,-2.3074785,40.8170033,2025-06-24,Dogs,Rabies,Unknown,2,1
County Government,Makueni,Makueni,Mavindini,Yembondo,-1.8966016666666667,37.79492666666667,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,201,13
County Government,Makueni,Makueni,Mavindini,Yembondo,-1.8966283333333327,37.79493833333333,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,59,11
County Government,Makueni,Makueni,Mavindini,Yembondo,-1.896558333333333,37.79495333333333,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,71,16
County Government,Makueni,Makueni,Kitise/Kithuki,Mwakini,-1.9576216666666668,37.847345,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,33,11
County Government,Makueni,Kilome,Kasikeu,Kayata Mkt,-1.9008066666666663,37.36181,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,45,6
County Government,Makueni,Kilome,Kasikeu,Kayata Mkt,-1.900608333333333,37.36175166666667,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,38,12
County Government,Makueni,Kilome,Kasikeu,Nguuni,-1.96133208,37.39934634,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,253,64
County Government,Makueni,Kilome,Kasikeu,Nguuni,-1.96140688,37.3992953,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,170,27
Private,Makueni,Kilome,Mukaa,Kitivo,-1.9136164,37.3855964,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,117,25
Private,Makueni,Kilome,Kasikeu,Kitivo,-1.91358,37.3855928,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,55,10
County Government,Taita Taveta,Mwatate,Chawia,Alia,-3.4865924,38.2561073,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,358,11
County Government,Makueni,Kaiti,Ilima,KYANG'A ,-1.8543535,37.3985799,2025-06-25,Dogs,Rabies,Unknown,37,26
County Government,Taita Taveta,Mwatate,Chawia,Alia,-3.4865924,38.2561073,2025-06-24,Cattle,Rift Valley Fever (RVF),Unknown,358,11
County Government,Taita Taveta,Mwatate,Chawia,Alia,-3.4865924,38.2561073,2025-06-24,Goats,Rift Valley Fever (RVF),Unknown,97,6
County Government,Nakuru,Nakuru Town East,Nakuru East,Intramuscular ,-0.2823855,36.1645678,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,2,1
County Government,Makueni,Makueni,Kitise/Kithuki,Kiambani,-1.9522766666666664,37.800356666666666,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,37,10
County Government,Makueni,Makueni,Kitise/Kithuki,Kimundi,-1.942088333333333,37.82800333333333,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,105,1
County Government,Makueni,Makueni,Kitise/Kithuki,Kiambani,-1.9525716666666668,37.80031333333333,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,37,10
County Government,Makueni,Makueni,Kitise/Kithuki,Mwakini,-1.95762166666,37.847345,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,33,11
County Government,Makueni,Makueni,Kitise/Kithuki,Kiambani,-1.952385,37.80035166666666,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,110,6
County Government,Makueni,Makueni,Kitise/Kithuki,Kimundi,-1.94231,37.82769333333333,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,121,32
County Government,Bomet,Chepalungu,Sigor,Nyakichiwa,-0.9338214,35.3214184,2025-06-24,Dogs,Rabies,Unknown,100,60
County Government,Makueni,Kibwezi West,Nguu/Masumba,Kisayani,-1.915916,37.67818,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,51,13
County Government,Makueni,Kibwezi West,Nguu/Masumba,Kisayani,-1.915916,37.67818,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,34,3
County Government,Makueni,Kibwezi West,Nguu/Masumba,Mweini,-2.068552,37.683578,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,74,8
County Government,Makueni,Kibwezi West,Nguu/Masumba,Mweini,-2.068552,37.683578,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,421,5
County Government,Makueni,Kibwezi West,Nguu/Masumba,Nzeveni,-2.144858,37.671787,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,141,23
County Government,Makueni,Kibwezi West,Nguu/Masumba,Nzeveni,-2.144858,37.671787,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,378,17
County Government,Makueni,Kibwezi West,Nguu/Masumba,Kitende,-2.0173,37.60158,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,69,12
County Government,Makueni,Kibwezi West,Nguu/Masumba,Kitende,-2.01734,37.60156,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,46,3
County Government,Makueni,Kibwezi West,Nguu/Masumba,Mukame A Mbeu,-2.08031,37.6518,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,158,32
County Government,Makueni,Kibwezi West,Nguu/Masumba,Mukame Ambeu,-2.08031,37.6518,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,338,21
County Government,Makueni,Kibwezi West,Nguu/Masumba,Yi Kivumbu,-2.071496,37.728036,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,90,24
County Government,Makueni,Kibwezi West,Nguu/Masumba,Yi Kivumbu,-2.071486,37.728036,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,255,10
County Government,Makueni,Kibwezi West,Nguu/Masumba,Ndovoini,-2.085716,37.710309,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,56,7
County Government,Makueni,Kilome,Kasikeu,Muani,-1.97954314,37.37668735,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,165,26
Private,Makueni,Kilome,Kasikeu,Nguuni,-1.9612068,37.399362,2025-06-23,Cattle,Foot and Mouth Disease (FMD),Unknown,720,1
County Government,Makueni,Kibwezi West,Nguu/Masumba,Ndovoini,-2.085716,37.710309,2025-06-23,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,43,2
Private,Makueni,Kilome,Kasikeu,Kwa Chief,-1.9545574,37.3852273,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,720,1
County Government,Makueni,Kilome,Kasikeu,Muani,-1.97933348,37.3767682,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,52,8
County Government,Makueni,Kibwezi West,Nguu/Masumba,Masumba,-2.0617,37.63184,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,60,9
County Government,Makueni,Kibwezi West,Nguu/Masumba,Masumba,-2.0617,37.63184,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,116,6
County Government,Makueni,Kibwezi West,Nguu/Masumba,Kwa Mutava,-2.10909,37.657172,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,83,14
County Government,Makueni,Kibwezi West,Nguu/Masumba,Kwa Mutava,-2.10909,37.65719,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,165,10
County Government,Makueni,Kibwezi West,Nguu/Masumba,Katulani,-2.43782,37.68716,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,150,28
County Government,Makueni,Kibwezi West,Nguu/Masumba,Katulani,-2.203287,37.68716,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,165,7
Private,Bomet,Chepalungu,Sigor,Lugumek Centre,-0.981685,35.32550666666667,2025-06-24,Dogs,Rabies,Unknown,72,57
Private,Bomet,Chepalungu,Sigor,Lugumek Centre,-0.9816066666666666,35.32524,2025-06-24,Cats,Rabies,Unknown,9,9
County Government,Taita Taveta,Wundanyi,Wundanyi/Mbale,MSIDUNYI,-3.3920942,38.3197013,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,72,40
County Government,Bomet,Chepalungu,Sigor,Kinyogi,,,2025-06-24,Dogs,Rabies,Unknown,101,52
County Government,Makueni,Kilome,Kasikeu,Kwa Mbita ,-2.00342592,37.37423266,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,87,15
County Government,Makueni,Kilome,Kasikeu,Kwa Mbita ,-2.00340433,37.37431893,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,106,9
Private,Makueni,Kilome,Kasikeu,Kasikeu,,,2025-06-22,Cattle,Foot and Mouth Disease (FMD),Unknown,320,56
County Government,Makueni,Makueni,Wote,Kaseve,-1.7790983,37.6019067,2025-06-23,Cattle,Lumpy Skin Disease (LSD),Unknown,117,37
County Government,Makueni,Makueni,Wote,Malivani Borehole ,-1.7845725,37.5939068,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,44,9
County Government,Makueni,Makueni,Wote,Malivani Borehole ,-1.7845725,37.5939068,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,115,28
County Government,Makueni,Makueni,Wote,Malivani Borehole ,-1.784525,37.5939068,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,115,28
County Government,Makueni,Makueni,Wote,Kaseve,-1.7790983,37.6019067,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,117,37
County Government,Makueni,Makueni,Wote,Kaseve,-1.7790983,37.6019067,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,98,13
County Government,Makueni,Makueni,Wote,Kivandini,-1.8075043,37.6241905,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,136,43
County Government,Makueni,Makueni,Wote,Kivandini,-1.8075043,37.6241905,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,136,43
County Government,Makueni,Makueni,Wote,Kivandini ,-1.8075043,37.6241905,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,83,14
County Government,Makueni,Makueni,Wote,St Rose Catholic Church ,-1.8052708,37.595541,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,67,16
County Government,Makueni,Makueni,Wote,St Rose Catholic Church ,-1.8052708,37.595571,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,67,16
County Government,Makueni,Makueni,Wote,St Rose Catholic ,-1.8052708,37.595541,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,9,2
County Government,Makueni,Makueni,Wote,St Rose Catholic Church ,-1.8052708,37.595541,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,67,16
County Government,Makueni,Makueni,Mavindini,Yemulwa,-1.8747783333333332,37.79106333333333,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,387,30
County Government,Makueni,Makueni,Mavindini,Yemulwa1,-1.88189,37.782383333333335,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,198,30
County Government,Makueni,Makueni,Mavindini,Yemulwa,-1.874905,37.79082,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,198,30
County Government,Kisumu,Nyakach,Central Nyakach,Unknown,,,2025-09-26,Cats,Rabies,Unknown,12,8
County Government,Makueni,Makueni,Kitise/Kithuki,Kwetui,-1.9725966666666663,37.79238,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,243,17
County Government,Makueni,Makueni,Kitise/Kithuki,Kwetui,-1.972805,37.79231666666667,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,103,14
County Government,Makueni,Makueni,Kitise/Kithuki,Kwetui,-1.9725866666666665,37.792530000000006,2025-06-24,Cattle,Foot and Mouth Disease (FMD),Unknown,103,14
County Government,Makueni,Kilome,Kasikeu,Mangala,-1.9163783333333333,37.33307833333333,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,63,19
County Government,Makueni,Kilome,Kasikeu,Kasikeu,-1.9465566666666665,37.385185,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,300,22
County Government,Makueni,Kaiti,Ukia,Mithumoni,,,2025-07-01,Cattle,Lumpy Skin Disease (LSD),Unknown,7,1
County Government,Makueni,Kilome,Kasikeu,Kasikeu,-1.94675,37.385015,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,288,72
County Government,Makueni,Kilome,Kasikeu,Mangala,-1.916565,37.33297166666667,2025-06-24,Goats,Contagious Caprine Pleuropneumonia (CCPP),Unknown,10,2
County Government,Taita Taveta,Mwatate,Wusi/Kishamba,Mreshinyi ,-3.432111,38.3437392,2025-06-24,Cattle,Rift Valley Fever (RVF),Unknown,35,17
County Government,Taita Taveta,Mwatate,Wusi/Kishamba,Mreshinyi ,-3.432111,38.3437392,2025-06-24,Dogs,Rabies,Unknown,26,17
County Government,Taita Taveta,Mwatate,Wusi/Kishamba,Mreshinyi ,-3.432111,38.3437392,2025-06-24,Cattle,Lumpy Skin Disease (LSD),Unknown,35,17
