Date of Report,Longitude,Latitude,County,Sub-County,Ward,Village,Animals Affected,Signs of Disease,Total Number of Animals in the herd,Number Sick,Number Dead
2026-07-24,0.0,0.0,Mandera,Lafey,Sala,jabi,Sheep,"[Abortions (Mimba Kutoka), Pouring Saliva (Kumwaga mate), Lameness (Kushindwa kutembea), Wounds on Legs & mouth, Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi)]",80,5,0
2026-07-24,0.0,0.0,Mandera,Lafey,Sala,jabi,Cattle,"[Abortions (Mimba Kutoka), Bleeding from openings (Kuvunja damu), Aggressiveness (Ukali), Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua), Wounds on Legs & mouth]",130,11,2
2026-07-24,0.0,0.0,Mandera,Lafey,Sala,jabi,Camel,"[Abortions (Mimba Kutoka), Aggressiveness (Ukali), Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Difficulty breathing (Kushindwa Kupumua), Skin swellings (uvimbe wa ngozi)]",100,8,3
2026-07-24,0.0,0.0,Mandera,Mandera East,Township,BP1,Cattle,[Difficulty breathing (Kushindwa Kupumua)],25,1,0
2026-07-24,0.0,0.0,Mandera,Mandera East,Township,BP1,Goats,[Diarrhoea (Kuhara)],37,2,0
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Goats,[Skin swellings (uvimbe wa ngozi)],180,21,0
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Goats,"[Skin swellings (uvimbe wa ngozi), Abortions (Mimba Kutoka)]",210,35,3
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Ano,Goats,[Abortions (Mimba Kutoka)],280,35,6
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Camel,[Swollen glands],65,21,7
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Camel,[Swollen glands],32,12,3
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Camel,[Swollen glands],25,7,2
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Camel,[Abortions (Mimba Kutoka)],65,21,6
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Gubachaptho,Goats,[Skin swellings (uvimbe wa ngozi)],247,65,12
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Ano,Camel,[Abortions (Mimba Kutoka)],280,65,9
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Ano,Goats,[Skin swellings (uvimbe wa ngozi)],150,18,3
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Camel,[Aggressiveness (Ukali)],52,12,0
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Goats,[Abortions (Mimba Kutoka)],290,45,12
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Ano,Goats,[Skin swellings (uvimbe wa ngozi)],350,80,12
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Goats,[Skin swellings (uvimbe wa ngozi)],245,95,12
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Camel,[Swollen glands],32,14,4
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Camel,[Swollen glands],24,9,2
2026-07-24,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Ano,Goats,"[Abortions (Mimba Kutoka), Skin swellings (uvimbe wa ngozi)]",230,65,12
2026-07-24,40.8321837,2.5899568,Mandera,Mandera South,Kutulo,Unknown,Camel,[Abortions (Mimba Kutoka)],147,2,3
2026-07-24,40.8321837,2.5899568,Mandera,Mandera South,Kutulo,Unknown,Camel,[Sudden Death (Kifo cha ghafla)],154,5,3
2026-07-24,40.8321837,2.5899568,Mandera,Mandera South,Kutulo,Unknown,Camel,[Abortions (Mimba Kutoka)],185,2,6
2026-07-24,40.8321837,2.5899568,Mandera,Mandera South,Kutulo,Unknown,Goats,[Abortions (Mimba Kutoka)],25,36,3
2026-07-24,40.8321837,2.5899568,Mandera,Mandera South,Kutulo,Unknown,Camel,[Abortions (Mimba Kutoka)],145,5,3
2026-07-24,40.8321837,2.5899568,Mandera,Mandera South,Kutulo,Unknown,Camel,[Abortions (Mimba Kutoka)],124,8,3
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Goats,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Bloody Faeces]",43,25,14
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Camel,"[Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Discharge from the eyes (Machozi), Swollen glands]",19,8,2
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Camel,"[Lamess (Kushindwa kutembea), Wounds on Legs & mouth, Discharge from the eyes (Machozi), Swollen glands]",14,8,1
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Sheep,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Diarrhoea (Kuhara)]",6,5,1
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Sheep,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Diarrhoea (Kuhara)]",18,10,3
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Goats,"[Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Discharge from the eyes (Machozi), Bloody Faeces]",21,11,4
2026-07-24,0.0,0.0,Garissa,Fafi,Fafi,Hagardera,Goats,"[Abortions (Mimba Kutoka), Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua)]",50,2,0
2026-07-24,41.8585003,3.936978,Mandera,Mandera West,Takaba,Alokona,Goats,"[Abortions (Mimba Kutoka), Sudden Death (Kifo cha ghafla), Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Swollen glands, Discharge from the eyes (Machozi), Diarrhoea (Kuhara), Skin swellings (uvimbe wa ngozi)]",111,63,11
2026-07-24,37.8036257,1.5988021,Marsabit,Laisamis,Laisamis,Laisamis,Goats,"[Nasal discharges (Makamasi), Diarrhoea (Kuhara)]",10,2,0
2026-07-22,37.8036257,1.5988021,Marsabit,Laisamis,Laisamis,Sakardala,Goats,"[Abortions (Mimba Kutoka), Lameness (Kushindwa kutembea), Nasal discharges (Makamasi), Diarrhoea (Kuhara)]",50,10,0
2026-07-24,37.8036257,1.5988021,Marsabit,Laisamis,Laisamis,Sakardala,Camel,"[Lamess (Kushindwa kutembea), Wounds on Legs & mouth]",50,6,0
2026-07-21,39.9223343,3.6803127,Mandera,Mandera West,Gither,Ghither,Camel,"[Abortions (Mimba Kutoka), Bleeding from openings (Kuvunja damu), Difficulty breathing (Kushindwa Kupumua)]",23,21,2
2026-07-26,0.0,0.0,Mandera,Mandera South,Shimbir Fatuma,Dololo,Camel,[Swollen glands],45,9,3
2026-07-24,0.0,0.0,Mandera,Mandera South,Elwak South,El Safara,Cattle,"[Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua), Diarrhoea (Kuhara)]",330,35,9
2026-07-24,0.0,0.0,Mandera,Mandera South,Elwak South,El Safara ,Cattle,"[Lameness (Kushindwa kutembea), Diarrhoea (Kuhara)]",262,19,3
2026-07-24,0.0,0.0,Mandera,Mandera South,Elwak South,Elsafara,Goats,"[Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi)]",693,39,11
2026-07-24,0.0,0.0,Mandera,Mandera South,Elwak South,Elsafara,Goats,"[Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi)]",751,28,6
2026-07-24,40.45782,-0.0304233333333333,Garissa,Fafi,Jarajila,Alinjugur ,Goats,"[Difficulty breathing (Kushindwa Kupumua), Discharge from the eyes (Machozi), Diarrhoea (Kuhara)]",130,5,1
2026-07-22,0.0,0.0,Mandera,Mandera East,Lebahiya,Hareri,Goats,"[Nasal discharges (Makamasi), Difficulty breathing (Kushindwa Kupumua)]",17,1,0
2026-07-24,0.0,0.0,Mandera,Mandera East,Lebahiya,Hareri,Goats,"[Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi)]",23,2,0
2026-07-24,40.8682209,3.5506096,Mandera,Mandera North,Morothile,Marothile ,Goats,"[Abortions (Mimba Kutoka), Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Diarrhoea (Kuhara)]",175,16,5
