Id,Cadre,Date of Start of Outbreak/Event,Date Event Reported,Season,Latitude,Longitude,Region,Area Type,Area Name,Animal Category,Species,Population in Herd,Traumatic injuries,Number Affected,Type of injury,Nature of human inflicted injury,Death of animals,Skin lesions/ swellings,Respiratory Signs,oral and foot lesions,Diarrhoea,Emaciation,Aggression,Central Nervous System signs,Blindness/Eye condition,Reproductive signs,Other Signs/Syndomes,Number Sick / Bitten,Number Dead,Disease/Condition,Other Disease,Nature of Diagnosis,Number of Humans Affected,Disease Control Method
72da51d7-1252-4a96-b8fd-91742e5dd868,Veterinarian,2022-11-09,2022-11-09,Dry,0.3443507,36.91422,Mountain,Non-Protected Area: Conservancies,Mpala,Herbivore,Other,<10,No,0.0,Unknown,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,0.0,1.0,Other,Unknown ,Post Mortem,0.0,[Other]
d5f0c30f-c439-4151-a2c7-bedb2af8c9bd,Veterinarian,2022-12-21,2022-12-21,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Olerai ,Herbivore,Equidae (Zebra),11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare,Clinical,0.0,[Treatment]
80a26723-252b-4c93-899f-374750b43b4f,Veterinarian,2022-12-18,2022-12-20,Dry,-1.3346974,36.7794087,Northern,Non-Protected Area: Ranch,Tumeren ,Herbivore,Giraffe,<10,Yes,1.0,Predator,Unknown,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,1.0,1.0,Other,Predatory Severe Wounds,Clinical,0.0,"[Treatment, Rescue]"
eedb3ab2-d730-42b7-99f6-43af59dfdb88,Veterinarian,2022-12-27,2022-12-27,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kenya Nut Olumorogi ,Herbivore,Equidae (Zebra),11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Nylon Rope Snare ,Clinical,0.0,[Treatment]
030bbd92-8825-4d2e-856f-38748944adb8,Veterinarian,2023-01-17,2023-01-17,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kedong Ranch ,Herbivore,Equidae (Zebra),11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Wire Snare ,Clinical,0.0,[Treatment]
f9b7d9f1-5fca-4809-a905-a7fb697f2594,Veterinarian,2023-02-02,2023-02-02,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Sanctuary Farm,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Spears,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Sharp Object Cut the Rump,Clinical,0.0,[Treatment]
d75cf36d-f29e-4224-83c6-57978bdae09c,Veterinarian,2023-02-28,2023-02-28,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Marula Estate ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Wire Snares ,Clinical,0.0,[Treatment]
300d92cd-47aa-4787-83fb-27dca7772b5a,Veterinarian,2023-03-15,2023-03-15,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kedong Ranch ,Herbivore,Buffalo,<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Winch Wire Snare On The Right Hind Leg,Clinical,0.0,[Treatment]
56ff1dc8-a558-4f92-9790-fadeb7c69316,Veterinarian,2023-03-18,2023-03-18,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kedong Ranch,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
2406dcab-b3ab-4859-a914-fc21367a80a2,Veterinarian,2023-03-18,2023-03-18,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kedong Ranch ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
