Date of Report,Date of Start of Outbreak/Event,County,Sub-County,Ward,Locality,Species Affected,Production System,Abortion,Number Sick / Bitten,Number Dead,Disease/Condition,Nature of Diagnosis,Number of Humans Affected (If zoonosis),Number Vaccinated,Disease Control Method,Longitude,Latitude,Number Sick
2024-01-25,2024-01-20,Marsabit,Saku,Marsabit Central,Village/Farm,Dogs,Unknown,No,0,0,Canine Distemper (CD),Clinical,0,0,[Isolation],37.994687,2.338488,1
2024-01-25,2024-01-17,Marsabit,Moyale,Sololo,Village/Farm,Donkey,Intensive,No,0,0,Animal bites,Clinical,0,0,[Treatment],38.6447228,3.5660417,1
2024-01-25,2024-01-15,Marsabit,Moyale,Sololo,Village/Farm,Goats,Intensive,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],38.6447142,3.566042,15
2024-01-25,2024-01-23,Taita Taveta,Mwatate,Wusi/Kishamba,Village/Farm,Cattle,Intensive,No,0,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",38.3704013,-3.4316076,1
2024-01-25,2024-01-25,Marsabit,Moyale,Sololo,Village/Farm,Cattle,Extensive,No,0,0,Black Quarter,Clinical,0,0,[Treatment],38.622347,3.596478,1
2024-01-25,2024-01-20,Marsabit,Moyale,Sololo,Village/Farm,Cattle,Intensive,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],38.644718,3.5660421,9
2024-01-26,2024-01-26,Vihiga,Luanda,Luanda South,Village/Farm,Cattle,Mixed,No,0,0,Animal bites,Clinical,0,0,[Treatment],34.5478197,-0.0198087,3
2024-01-24,2024-01-21,Marsabit,Moyale,Golbo,Village/Farm,Camel,Extensive,No,0,0,Pneumonia,Clinical,0,0,[Treatment],39.27963124,3.45237005,8
2024-01-25,2024-01-24,Kisumu,Kisumu East,Nyalenda 'A',Village/Farm,Cattle,Extensive,No,0,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",34.7818469,-0.1173819,1
2024-01-25,2024-01-25,Marsabit,Laisamis,Laisamis,Village/Farm,Camel,Unknown,Yes,0,0,Brucellosis,Clinical,0,0,[No Action],37.8059486,1.598026,1
2024-01-24,2024-01-21,Marsabit,Moyale,Golbo,Village/Farm,Goats,Extensive,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],39.27963122,3.45237003,2
2024-01-26,2024-01-26,Kisumu,Seme,North Seme,Village/Farm,Cattle,Extensive,No,0,0,Lumpy Skin Disease (LSD),Clinical,0,0,"[Isolation, Treatment]",34.5176995,-0.0626126,1
2024-01-26,2024-01-26,Marsabit,Moyale,Heillu/Manyatta,Village/Farm,Donkey,Extensive,No,0,0,Colic,Clinical,0,0,[Treatment],39.0627727,3.537857,1
2024-01-26,2024-01-26,Bomet,Bomet East,Kipreres,Abattoir,Cattle,Unknown,No,0,0,Helminthiasis,Post Mortem,0,0,[Other],35.418832,-0.9303007,1
2024-01-26,2024-01-26,Kisumu,Seme,North Seme,Village/Farm,Cattle,Extensive,No,0,0,East Coast Fever(ECF),Clinical,0,0,[Treatment],0.0,0.0,1
2024-01-26,2024-01-26,Vihiga,Emuhaya,Central Bunyore,Village/Farm,Cattle,Mixed,No,0,0,Anaplasmosis,Clinical,0,0,[Treatment],34.6118337,0.1002948,1
2024-01-26,2024-01-26,Marsabit,Moyale,Heillu/Manyatta,Village/Farm,Donkey,Extensive,No,0,0,Mange,Clinical,0,0,[Treatment],39.0627727,3.537857,1
2024-01-26,2024-01-24,Marsabit,Moyale,Golbo,Village/Farm,Goats,Extensive,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],39.24247612,3.46314329,3
2024-01-23,2024-01-23,Kitui,Mwingi Central,Nuu,Market,Chicken,Unknown,No,0,25,Fowl Pox,Clinical,0,0,[Quarantine],0.0,0.0,70
2024-01-26,2024-01-24,Marsabit,Moyale,Moyale Township,Village/Farm,Goats,Extensive,No,0,0,Coenurosis,Clinical,0,0,[No Action],39.04288471,3.52728181,1
2024-01-26,2024-01-22,Marsabit,Moyale,Golbo,Village/Farm,Goats,Extensive,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],39.204077,3.34111,0
2024-01-26,2024-01-26,Taita Taveta,Voi,Mbololo,Village/Farm,Goats,Intensive,No,0,1,Pneumonia,Clinical,0,0,[Treatment],38.5248963,-3.3259181,140
2024-01-26,2024-01-22,Marsabit,Moyale,Golbo,Village/Farm,Goats,Extensive,No,0,0,Footrot,Clinical,0,0,[Treatment],39.204077,3.34111,5
2024-01-26,2024-01-23,Taita Taveta,Taveta,Chala,Village/Farm,Cattle,Intensive,No,0,0,Lumpy Skin Disease (LSD),Clinical,0,0,"[Vaccination, Isolation]",37.7329038,-3.291318,1
2024-01-26,2024-01-26,Taita Taveta,Voi,Mbololo,Village/Farm,Cattle,Mixed,No,0,0,Helminthiasis,Clinical,0,0,[Treatment],38.5831892,-3.3923686,2
2024-01-26,2024-01-21,Marsabit,Moyale,Uran,Village/Farm,Goats,Extensive,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],38.241528,3.489085,4
2024-01-25,2024-01-25,Kakamega,Malava,East Kabras,Village/Farm,Cattle,Mixed,No,0,0,East Coast Fever(ECF),Clinical,0,0,[Vector Control],34.8550011,0.3874962,1
